"Product","Eff_Date","Term_Date","Address1","City","State","Zip","Member","DOB","MEDICARE_ID","Plan_Name","AOR_Name","AOR_SAN","Agent","SAN"
"PDP","2024-01-01","","7421 W OAK RIDGE DR","PHOENIX","AZ","85016","HENDERSON,GLORIA","1947-03-14","7KD3QW9MN21","S5884-197","SUNRISE BENEFITS LLC","AOR1000001","PARKER,EMILY","SAN9000001"
"HAP","2024-02-01","2024-12-31","1198 E CAMELBACK RD","SCOTTSDALE","AZ","85251","MARTINEZ,RICARDO","1941-11-02","1AB2CD3EF45","","DESERT OASIS INSURANCE","AOR1000002","NGUYEN,OLIVIA","SAN9000002"
"HUM","2023-10-01","","5600 N CENTRAL AVE","TUCSON","AZ","85712","JOHNSON,ARTHUR","1938-06-25","9ZP4LM7TR63","","COPPER STATE AGENCY","AOR1000003","WILLIAMS,NOAH","SAN9000003"
"HV","2024-03-01","","2330 S RURAL RD","TEMPE","AZ","85282","BROWN,HELEN","1954-09-09","5GH8JK2LP90","","VALLEY SENIOR SOLUTIONS","AOR1000004","DAVIS,SOPHIA","SAN9000004"
"RD","2024-04-01","2024-08-31","901 E JEFFERSON ST","MESA","AZ","85201","LEE,FRANK","1949-01-30","3MN6PQ1RS88","","PINNACLE HEALTH BROKERS","AOR1000005","MILLER,LIAM","SAN9000005"
"LPPO","2024-05-01","","4100 E VAN BUREN ST","GLENDALE","AZ","85301","CLARK,DIANE","1952-12-18","8TY1UI4OP77","S5610-012","HARBORLIGHT INSURANCE GROUP","AOR1000006","GARCIA,AVA","SAN9000006"
"PDP","2024-06-01","2024-06-30","2755 W THOMAS RD","CHANDLER","AZ","85224","RODRIGUEZ,STEVEN","1944-05-07","2QW3ER4TY56","S5884-305","SAGUARO BENEFITS PARTNERS","AOR1000007","THOMPSON,JAMES","SAN9000007"
"HAP","2024-07-01","","1801 E MCDOWELL RD","PEORIA","AZ","85345","WILSON,MARIE","1939-08-21","6AS7DF8GH90","","CANYON RIDGE INSURANCE","AOR1000008","MARTIN,ISABELLA","SAN9000008"
"HUM","2024-08-01","2025-01-31","600 S DOBSON RD","SURPRISE","AZ","85374","ANDERSON,PAUL","1946-02-11","4CV5BN6MQ12","","RED ROCK SENIOR SERVICES","AOR1000009","WHITE,BENJAMIN","SAN9000009"
"LPPO","2024-09-01","","1200 N 7TH ST","FLAGSTAFF","AZ","86001","TAYLOR,NANCY","1950-07-04","0PL9OK8IJ76","S5968-101","HIGH COUNTRY BENEFITS","AOR1000010","HARRIS,MIA","SAN9000010"
