ACTION_ID:highmark-cs-data-integration
SERVICE_MAP_ID:10003358
SOURCE_TOKEN:a412f2f3abc24082a83b78059e7448d4_1770021349729

CARRIER_STATUS_MAP|CARRIER_FAMILY_ID|PARENT_CARRIER_ID|IS_PAID|BUSINESS_LINE|APPLICATION_ID|MEMBER_NUMBER|POLICY_ID|CARRIER_ID|PLAN_ID|RIDER_ID|CATEGORY_CLASS_ID|REQUESTED_EFFECTIVE_DATE|STATUS_CODE|PRODUCT_LINE|REVENUE_IMPACT_DATE|POLICY_NUMBER|MONTHLY_PREMIUM|RATE_TIER|NOT_CANCELLED|IS_DELINQUENT|DELINQUENCY_NOTE|MEMBER_COUNT|CARRIER_EFFECTIVE_DATE|EFFECTIVE_START_DATE|CANCELLATION_DATE|IS_ACTIVE|IS_REVERSED|IS_MASTER_POLICY|HEALTH_RATE_FACTOR|HOUSEHOLE_DISCOUNT|PREMIUM_EFFECTIVE_DATE|FUTURE_RATE_CHANGE_DATE|FUTURE_PREMIUM|FREQUENCY_TO_DEBIT|CARRIER_PAID_THRU_DATE|ADDRESS_TYPE|ADDRESS_LINE_1|ADDRESS_LINE_2|ADDRESS_LINE_3|CITY|STATE|ZIP_CODE|COUNTY|FIRST_NAME|MIDDLE_NAME|LAST_NAME|GENDER|BIRTH_DATE|SSN|EMAIL|MEDICARE_ID|CARRIER_CONFIRMATION_NUMBER|PHONE_TYPE|AREA_CODE|PHONE_NUMBER|PHONE_EXTENSION|STATUS_NOTE|CATEGORY|SUBSCRIBER_COUNT|GROUP_NAME|GROUP_ID|RAF|CARRIER_APPLICATION_ID|CARRIER_POLICY_ID|RECORD_TYPE|CREATION_DATE|SUBMIT_DATE|SIGNITURE_DATE|SEP_REASON_CODE|EXTRA_HELP|EXTRA_HELP_LEVEL|CARRIER_NAME|PLAN_NAME|CMS_CONTRACT_ID|CMS_PLAN_ID|CMS_SEGMENT_ID|RENEWAL_DATE|RENEWAL_TYPE|INITIAL_PAYMENT_MODE|CMS_DISENROLLMENT_CODE|STATUS_DATE|PLAN_CHANGE_NOTE|CMS_CARRIER_POST_TERM|CMS_CONTRACT_ID_POST_TERM|CMS_PLAN_ID_POST_TERM|CMS_SEGMENT_ID_POST_TERM|BROKER_OF_RECORD|AGENCY_NAME|AGENCY_ID|AGENT_NAME|AGENT_ID|LAST_TOUCHED_DATE
|23||1|2|KEEP|1|||||1|||MA||7089721||||||||2025-09-15|2025-11-18|||||||||||HOME|3496 NATHAN WELL SUITE 482||||POPULATION|73012||JACOB|270610|ROJAS||||698 EDDIE STRAVENUE|BANK||HOME|505|5774172|||||||||||||||||||4633956|9596041|7418698|||||||||||||||CUSTOMER|
|23||1|2|THIRD|1|||||1|||MA||6358972||||||||2024-12-03|2024-04-15|||||||||||HOME|86002 JUSTIN SHOAL SUITE 192||||SINCE|49653||JESSE|2184852|MILLS||||31738 JONATHAN MEWS APT. 024|TREATMENT||HOME|643|4673856|||||||||||||||||||9381509|3234135|6054257|||||||||||||||THERE|
|23||1|2|ACT|1|||||1|||MA||9009418||||||||2024-07-16|2024-09-12|||||||||||HOME|65000 MILLER UNION APT. 053||||RESOURCE|67678||KATHLEEN|7014216|CASTILLO||||75968 MICHAEL SHORE|SAY||HOME|799|7163729|||||||||||||||||||2585480|3551311|1405972|||||||||||||||CALL|
|23||1|2|ONLY|1|||||1|||MA||5830433||||||||2024-07-16|2025-03-25|||||||||||HOME|32242 APRIL ALLEY APT. 072||||THING|80127||SARAH|5502914|JEFFERSON||||617 WHITE WELLS APT. 055|CONTROL||HOME|224|6696562|||||||||||||||||||550804|8668288|7070572|||||||||||||||INDICATE|
|23||1|2|COULD|1|||||1|||MA||211959||||||||2024-08-06|2025-08-08|||||||||||HOME|8651 DAWN SUMMIT||||DAY|82833||CHRISTINE|2848225|HARRIS||||359 MARTINEZ PASS|RULE||HOME|989|7943930|||||||||||||||||||4907930|1769326|7054700|||||||||||||||SPEND|
|23||1|2|REMAIN|1|||||1|||MA||9798674||||||||2026-01-09|2024-05-11|||||||||||HOME|58891 ERIC STATION APT. 475||||INTEREST|40773||SHANE|3147643|BAKER||||0470 MICHAEL ALLEY APT. 019|TURN||HOME|954|5844811|||||||||||||||||||8884509|5634682|775299|||||||||||||||CUP|
|23||1|2|TRAVEL|1|||||1|||MA||2109948||||||||2025-01-13|2024-08-08|||||||||||HOME|45619 RICHARDSON WAY APT. 632||||BEAT|19223||LISA|8475603|HALL||||02180 MYERS WAY APT. 317|CHURCH||HOME|421|9544044|||||||||||||||||||4424050|9975213|7375863|||||||||||||||PARTICULAR|
|23||1|2|DESIGN|1|||||1|||MA||796912||||||||2024-10-04|2025-04-22|||||||||||HOME|401 ALLISON PLAZA||||MOTHER|86654||SUSAN|2853783|HOOPER||||298 CHAPMAN TUNNEL|WE||HOME|508|2093462|||||||||||||||||||3943877|5967450|9145239|||||||||||||||COMMON|
|23||1|2|LOT|1|||||1|||MA||2733701||||||||2025-01-26|2024-04-15|||||||||||HOME|5890 HARRISON CAPE||||FROM|41555||PERRY|6576224|EVANS||||909 TODD CREST APT. 920|YARD||HOME|531|2131808|||||||||||||||||||1121563|7567769|1418064|||||||||||||||APPROACH|
|23||1|2|FOR|1|||||1|||MA||3111255||||||||2025-11-29|2025-04-16|||||||||||HOME|7063 MARK TUNNEL APT. 698||||EFFORT|90420||VICKI|296447|BRADSHAW||||983 EMILY MOTORWAY|TIME||HOME|990|9297025|||||||||||||||||||3712985|8698715|2138513|||||||||||||||SONG|
