ACTION_ID:humana-s10-cs-data-integration
SERVICE_MAP_ID:10003358
SOURCE_TOKEN:a412f2f3abc24082a83b78059e7448d4_1770021349729

CARRIER_STATUS_MAP|CARRIER_FAMILY_ID|PARENT_CARRIER_ID|IS_PAID|BUSINESS_LINE|APPLICATION_ID|MEMBER_NUMBER|POLICY_ID|CARRIER_ID|PLAN_ID|RIDER_ID|CATEGORY_CLASS_ID|REQUESTED_EFFECTIVE_DATE|STATUS_CODE|PRODUCT_LINE|REVENUE_IMPACT_DATE|POLICY_NUMBER|MONTHLY_PREMIUM|RATE_TIER|NOT_CANCELLED|IS_DELINQUENT|DELINQUENCY_NOTE|MEMBER_COUNT|CARRIER_EFFECTIVE_DATE|EFFECTIVE_START_DATE|CANCELLATION_DATE|IS_ACTIVE|IS_REVERSED|IS_MASTER_POLICY|HEALTH_RATE_FACTOR|HOUSEHOLE_DISCOUNT|PREMIUM_EFFECTIVE_DATE|FUTURE_RATE_CHANGE_DATE|FUTURE_PREMIUM|FREQUENCY_TO_DEBIT|CARRIER_PAID_THRU_DATE|ADDRESS_TYPE|ADDRESS_LINE_1|ADDRESS_LINE_2|ADDRESS_LINE_3|CITY|STATE|ZIP_CODE|COUNTY|FIRST_NAME|MIDDLE_NAME|LAST_NAME|GENDER|BIRTH_DATE|SSN|EMAIL|MEDICARE_ID|CARRIER_CONFIRMATION_NUMBER|PHONE_TYPE|AREA_CODE|PHONE_NUMBER|PHONE_EXTENSION|STATUS_NOTE|CATEGORY|SUBSCRIBER_COUNT|GROUP_NAME|GROUP_ID|RAF|CARRIER_APPLICATION_ID|CARRIER_POLICY_ID|RECORD_TYPE|CREATION_DATE|SUBMIT_DATE|SIGNITURE_DATE|SEP_REASON_CODE|EXTRA_HELP|EXTRA_HELP_LEVEL|CARRIER_NAME|PLAN_NAME|CMS_CONTRACT_ID|CMS_PLAN_ID|CMS_SEGMENT_ID|RENEWAL_DATE|RENEWAL_TYPE|INITIAL_PAYMENT_MODE|CMS_DISENROLLMENT_CODE|STATUS_DATE|PLAN_CHANGE_NOTE|CMS_CARRIER_POST_TERM|CMS_CONTRACT_ID_POST_TERM|CMS_PLAN_ID_POST_TERM|CMS_SEGMENT_ID_POST_TERM|BROKER_OF_RECORD|AGENCY_NAME|AGENCY_ID|AGENT_NAME|AGENT_ID|LAST_TOUCHED_DATE
Termed|66,175,206||1|2||1|||||1|||MD||||||||||2025-01-27|2024-04-05|||||||||||HOME|3496 NATHAN WELL SUITE 482|||WEST JOANNA|VA|12467||JILL||SCHMIDT||1955-04-17|||270610||HOME|||||||||||||||||||||RD|HF|||||||||||||RICHARDS,GARRETT|DESCRIBE|SERVE|BANK|
Termed|66,175,206||1|2||1|||||1|||MA/MAPD||||||||||2024-08-14|2024-12-03|||||||||||HOME|5086 ADAM SHORE|||PORT BETTY|LA|13542||DANIEL||DELGADO||1961-04-15|||3349098||HOME|||||||||||||||||||||HUM|HG|||||||||||||MALDONADO,HUNTER|HOW|EARLY|NEED|
Termed|66,175,206||1|2||1|||||1|||MS||||||||||2025-06-07|2026-01-25|||||||||||HOME|31738 JONATHAN MEWS APT. 024|||EAST TAMMIESTAD|ND|45323||MARIO||MOORE||1988-04-08|||6358972||HOME|||||||||||||||||||||S5884|197|||||||||||||WILLIAMS,JENNIFER|BAR|IMPORTANT|SUCCESSFUL|
Active|66,175,206||1|2||1|||||1|||MS||||||||||2026-01-30|2025-10-26|||||||||||HOME|81790 CONNIE ISLANDS SUITE 835|||NEW EDWARDFORT|GA|44482||FRANK||HALL||1975-04-12|||9530112||HOME|||||||||||||||||||||HAP|F|||||||||||||ROBERTS,AMANDA|NATURE|SAFE|ABOUT|
Active|66,175,206||1|2||1|||||1|||MS||||||||||2024-07-14|2025-07-22|||||||||||HOME|148 JONES TERRACE|||BUTLERBURY|PW|24660||MARK||JOHNSON||1938-04-21|||3234135||HOME|||||||||||||||||||||HUM|HG|||||||||||||FOSTER,GREGORY|RESPONSE|THAN|NATIONAL|
Active|66,175,206||1|2||1|||||1|||MS||||||||||2026-01-11|2026-02-28|||||||||||HOME|1173 KARA PINES APT. 594|||NEW WILLIAM|WI|88449||BRIAN||SNOW||1941-04-20|||7014216||HOME|||||||||||||||||||||HV|N|||||||||||||WATERS,BRADLEY|SUCCESSFUL|NATION|NORTH|
Active|66,175,206||1|2||1|||||1|||MA/MAPD||||||||||2025-05-22|2025-07-02|||||||||||HOME|50475 PARKER RIDGE|||LARRYFORT|NJ|07102||ANTHONY||BAKER||1990-04-08|||3551311||HOME|||||||||||||||||||||HAP|F|||||||||||||REED,SAMANTHA|REQUIRE|PROCESS|SUMMER|
Termed|66,175,206||1|2||1|||||1|||MA/MAPD||||||||||2026-02-09|2024-04-20|||||||||||HOME|7245 RACHEL STREAM|||MEGHANLAND|RI|39933||MICHELLE||RICHARDSON||1965-04-14|||5502914||HOME|||||||||||||||||||||S5884|197|||||||||||||BARNES,ETHAN|CHARACTER|TELEVISION|FOLLOW|
Termed|66,175,206||1|2||1|||||1|||MS||||||||||2024-09-14|2025-02-02|||||||||||HOME|18056 DELACRUZ GARDEN|||SOUTH EDDIEBOROUGH|KS|75192||ERIC||PATEL||2005-04-04|||8668288||HOME|||||||||||||||||||||HAP|F|||||||||||||FIGUEROA,BENJAMIN|TRY|BENEFIT|BETWEEN|
Active|66,175,206||1|2||1|||||1|||MD||||||||||2025-04-18|2025-05-04|||||||||||HOME|082 CHAPMAN TUNNEL APT. 767|||WEST ELAINEFURT|MI|88863||DIANE||VELASQUEZ||2008-04-03|||2848225||HOME|||||||||||||||||||||RD|HF|||||||||||||SMITH,THOMAS|ANSWER|FROM|FORM|
